17,89,160,48.303,194.822,62.332,50,280,1193,143.611,610.973,463.55
7,24,36,97.708,261.543,79.33,15,65,262,220.714,714.92,569.772
23,92,171,47.664,148.277,46.301,63,289,1387,132.671,465.011,374.836
118,422,780,58.449,167.846,60.979,355,1457,6376,175.641,579.855,498.598
11,47,67,47.203,129.829,55.008,23,129,384,102.277,357.401,313.957
3,13,24,64.478,192.826,59.631,12,51,245,220.026,734.525,606.911
38,130,265,61.837,175.962,58.119,112,453,2458,184.045,612.548,539.104
31,119,224,58.29,182.401,58.478,96,416,2308,181.542,636.599,603.291
9,31,60,63.175,161.215,49.873,25,103,441,182.759,531.757,368.105
35,145,253,71.858,232.986,73.896,103,447,2072,213.926,720.52,604.803
3,14,21,75.421,232.427,68.11,8,39,169,183.034,664.784,543.541
18,68,135,48.108,135.339,47.755,60,260,1137,156.793,517.024,400.951
4,11,23,56.886,163.053,61.471,11,40,200,159.795,578.337,539.139
37,120,276,74.932,192.682,80.512,94,359,1807,189.373,577.218,527.693
13,49,86,54.938,160.987,50.646,41,172,699,175.46,560.402,410.53
204,655,1336,63.632,165.861,61.59,540,2206,11848,168.149,558.465,546.34
26,102,220,67.979,202.954,77.843,84,348,1754,215.55,694.074,619.989
19,69,139,64.449,206.526,61.426,62,248,1440,208.635,737.902,637.355
3,16,29,48.705,173.186,55.16,11,59,275,169.463,649.068,525.786
1,11,33,34.653,161.876,89.181,4,46,215,122.514,649.751,584.301
77,274,662,56.203,165.084,58.74,236,979,6086,171.702,590.095,539.709
32,122,275,41.268,126.086,52.186,119,523,2546,155.882,541.033,482.47
7,22,46,68.888,178.683,58.412,17,73,405,164.403,603.08,511.814
9,28,52,72.771,164.014,63.65,22,95,414,172.111,560.028,508.06
66,290,563,60.232,207.046,71.647,191,920,4390,175.495,656.824,558.261
31,128,223,56.391,179.956,58.508,89,436,1878,162.039,612.815,492.214
18,83,131,73.137,233.338,70.658,48,252,1028,195.953,712.631,552.562
17,67,97,71.276,206.721,58.403,46,214,816,194.739,660.288,492.952
