State,Year,Population.26+,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.26+
Louisiana,2010,2810803,146,32.528,1392,495.35,780,277.534,34,6.597,17,46.886,82,29.267,152,54.163,914,325.006
Maine,2010,913496,43,35.337,538,589.033,229,250.481,11,9.414,5,63.783,52,56.412,92,101.092,256,280.117
Maryland,2010,3742499,156,32.307,2210,590.466,723,193.151,45,6.39,25,58.527,117,31.232,209,55.81,860,229.859
Massachusetts,2010,4320664,310,48.84,2900,671.269,757,175.214,61,10.236,33,82.057,290,67.141,447,103.538,914,211.597
Michigan,2010,6365041,388,39.831,3646,572.839,1667,261.933,76,9.041,44,61.711,413,64.84,611,96.056,1939,304.646
Minnesota,2010,3419350,219,42.122,2147,627.847,722,211.075,32,7.879,23,58.04,139,40.62,235,68.59,861,251.847
Mississippi,2010,1819793,81,34.949,762,418.923,492,270.424,21,6.827,11,49.852,72,39.582,121,66.528,646,355.222
Missouri,2010,3823426,170,41.381,1982,518.377,1030,269.33,41,8.873,25,60.24,143,37.31,256,67.007,1278,334.355
Montana,2010,651403,45,53.021,416,639.074,149,228.751,6,10.591,6,91.926,49,74.627,79,120.608,195,299.167
Nebraska,2010,1143103,57,35.395,633,553.976,263,230.06,11,9.84,7,48.134,40,34.582,65,56.448,313,273.61
Nevada,2010,1733566,138,51.748,985,568.467,397,229.018,22,11.094,13,70.641,100,57.693,177,102.005,471,271.704
New Hampshire,2010,883019,47,45.98,577,653.187,187,211.472,10,10.196,7,81.548,44,49.543,80,90.929,227,256.824
New Jersey,2010,5785457,323,46.126,3499,604.745,1326,229.203,83,8.816,41,66.09,262,45.202,391,67.663,1539,266.064
New Mexico,2010,1293249,75,42.561,577,446.238,266,205.461,20,13.751,11,87.359,75,57.743,122,94.087,308,237.878
New York,2010,12651349,716,41.565,7302,577.176,2676,211.514,184,8.258,77,57.246,668,52.83,1111,87.814,3053,241.336
North Carolina,2010,6102077,266,38.988,3026,495.975,1461,239.391,77,8.83,41,60.641,282,46.25,423,69.386,1753,287.354
North Dakota,2010,423460,29,36.699,260,615.071,90,213.647,3,7.4,2,49.049,10,24.749,22,52.998,107,252.749
Ohio,2010,7436917,461,38.691,4135,555.993,1971,265.043,83,8.306,48,57.705,321,43.201,582,78.222,2329,313.181
Oklahoma,2010,2336963,152,34.92,1084,463.798,699,299.085,24,9.106,15,55.016,110,46.955,173,74.024,830,355.166
Oregon,2010,2544311,179,40.071,1654,650.135,546,214.512,34,12.412,16,70.139,227,89.083,323,126.893,651,255.757
Pennsylvania,2010,8359212,508,40.648,4835,578.445,2020,241.616,104,7.979,49,56.243,346,41.377,602,71.969,2435,291.298
Rhode Island,2010,682132,54,42.05,453,664.171,161,235.607,11,9.914,5,78.503,57,83.121,89,130.204,186,272.613
South Carolina,2010,2966560,159,38.361,1532,516.437,814,274.528,40,6.71,20,59.81,117,39.525,216,72.924,955,321.914
South Dakota,2010,509409,39,53.174,294,576.703,122,239.143,4,8.017,3,52.961,16,31.634,28,54.76,152,298.623
Tennessee,2010,4110667,212,35.52,1777,432.263,1119,272.145,46,8.02,23,50.097,153,37.224,261,63.596,1450,352.717
Texas,2010,15188973,815,37.976,8078,531.865,3282,216.095,156,11.561,108,53.982,516,33.972,890,58.58,3907,257.24
Utah,2010,1532125,52,36.983,433,282.626,205,133.56,17,9.231,12,43.559,36,23.4,67,43.863,237,154.984
Vermont,2010,420783,24,43.899,266,633.154,90,214.387,5,12.769,3,93.546,37,88.665,54,129.242,108,257.52
Virginia,2010,5117877,279,42.514,2907,568.078,1011,197.533,52,7.891,32,59.103,185,36.072,321,62.771,1288,251.694
Washington,2010,4373484,259,44.484,2660,608.117,958,219.046,55,10.116,30,70.543,311,71.218,486,111.108,1146,262.008
West Virginia,2010,1252067,54,36.06,499,398.818,386,307.972,14,10.672,7,62.838,47,37.357,87,69.824,486,387.944
Wisconsin,2010,3678180,229,37.208,2491,677.281,789,214.406,37,8.804,22,50.872,154,41.768,243,65.976,951,258.524
Wyoming,2010,358902,22,40.973,191,532.419,85,236.807,3,8.336,2,57.743,12,33.573,23,63.022,108,300.288
Alabama,2011,3073532,125,32.715,1400,455.585,804,261.683,31,6.692,18,49.418,104,33.842,193,62.948,1010,328.727
Alaska,2011,432040,33,38.07,256,592.789,112,258.816,5,8.824,3,66.957,48,111.808,69,160.729,137,317.151
Arizona,2011,4077362,249,38.128,2232,547.481,913,223.93,62,9.982,28,64.543,217,53.283,343,84.097,1076,263.86
Arkansas,2011,1864363,82,31.712,786,421.398,482,258.686,20,7.373,11,51.741,67,36.05,119,63.694,601,322.513
California,2011,23658234,1401,42.105,12529,529.578,3741,158.142,305,10.839,183,68.288,1595,67.418,2387,100.879,4479,189.302
Colorado,2011,3270160,225,38.081,2067,632.196,743,227.056,49,10.894,24,74.917,250,76.328,397,121.45,922,281.899
Connecticut,2011,2363818,160,39.093,1561,660.55,473,200.109,31,8.483,16,66.258,142,60.139,221,93.617,583,246.445
Delaware,2011,590737,34,33.217,326,551.397,139,234.712,9,7.44,4,73.237,29,49.5,56,95.536,166,280.558
District of Columbia,2011,411604,45,31.812,268,650.756,86,210.042,11,3.355,2,83.679,30,72.386,60,146.424,102,248.558
Florida,2011,12916437,655,30.753,7100,549.654,2758,213.492,165,6.551,69,56.374,611,47.279,1006,77.895,3213,248.745
Georgia,2011,6074730,270,29.783,3068,505.041,1279,210.578,84,6.383,42,56.296,236,38.805,391,64.373,1640,270.025
Hawaii,2011,887821,53,43.7,480,541.175,157,176.777,12,7.43,5,71.013,51,56.945,90,101.418,173,195.023
Idaho,2011,969335,56,35.739,529,545.624,213,220.149,9,6.92,7,53.987,36,37.652,63,65.433,258,266.009
Illinois,2011,8215103,516,35.035,4877,593.661,1832,222.963,125,7.413,53,56.975,394,47.91,631,76.87,2169,264.063
Indiana,2011,4108332,236,35.822,2240,545.268,1126,274.109,38,7.619,27,54.914,177,43.144,302,73.561,1382,336.5
Iowa,2011,1956812,123,34.127,1169,597.408,429,219.064,16,6.384,13,55.788,81,41.307,131,67.163,506,258.821
Kansas,2011,1772671,93,35.806,962,542.482,424,239.218,18,7.413,12,50.761,45,25.518,91,51.248,524,295.814
Kentucky,2011,2803041,126,33.091,1308,466.662,921,328.476,31,7.773,17,54.288,102,36.452,179,63.977,1086,387.61
Louisiana,2011,2841017,162,31.811,1493,525.687,810,284.954,40,6.317,15,43.358,86,30.154,198,69.683,977,343.869
Maine,2011,918180,50,33.204,525,571.782,228,247.777,12,7.856,5,67.226,58,62.943,101,110.285,259,281.754
Maryland,2011,3789736,198,32.002,2356,621.615,715,188.736,41,5.697,25,60.969,139,36.595,239,63.067,878,231.708
Massachusetts,2011,4368462,300,40.584,2969,679.585,791,181.043,57,9.327,31,76.635,277,63.379,468,107.184,1024,234.317
Michigan,2011,6392662,398,37.845,3670,574.166,1680,262.873,67,7.859,45,64.592,423,66.092,652,101.97,1981,309.914
Minnesota,2011,3457060,218,37.852,2185,631.91,729,210.962,36,6.263,22,56.205,150,43.253,276,79.931,899,260.071
Mississippi,2011,1830270,80,31.438,780,426.202,555,302.993,23,7.122,11,47.09,71,38.803,113,61.991,670,366.022
Missouri,2011,3846810,202,35.962,2075,539.419,994,258.372,37,7.064,25,59.242,147,38.303,261,67.928,1232,320.163
Montana,2011,657558,45,48.862,419,637.901,154,234.709,6,11.141,5,83.974,52,79.432,80,121.016,195,296.814
Nebraska,2011,1153600,69,38.852,661,573.33,255,220.986,12,7.936,7,52.071,43,37.4,68,58.689,301,261.303
Nevada,2011,1757473,141,40.466,996,566.595,415,235.868,17,9.16,13,70.525,113,64.351,199,113.007,478,272.032
New Hampshire,2011,888797,49,40.906,594,668.155,172,193.716,11,8.445,7,78.7,48,54.067,88,98.828,225,252.592
New Jersey,2011,5826415,331,39.519,3499,600.476,1144,196.42,86,7.323,39,59.936,231,39.585,380,65.202,1345,230.764
New Mexico,2011,1303353,82,45.102,649,498.204,283,217.498,20,12.706,11,89.347,90,69.354,138,105.944,327,250.664
New York,2011,12760358,735,36.089,7438,582.908,2601,203.798,211,7.465,74,56.847,763,59.805,1239,97.117,3060,239.825
North Carolina,2011,6176978,245,31.914,3071,497.205,1481,239.796,75,8.432,39,55.55,262,42.425,405,65.57,1755,284.125
North Dakota,2011,430829,30,37.233,266,618.183,105,242.923,4,6.941,2,45.192,13,30.719,25,57.336,123,286.17
Ohio,2011,7466946,453,32.92,4143,554.779,2076,278.052,95,5.956,52,63.093,402,53.882,697,93.329,2424,324.642
Oklahoma,2011,2358834,178,35.084,1156,490.071,739,313.387,23,7.108,15,56.329,107,45.468,176,74.72,848,359.398
Oregon,2011,2575672,171,34.791,1646,638.882,549,212.983,33,10.511,15,65.338,264,102.506,368,143.027,677,262.887
Pennsylvania,2011,8405726,468,39.322,4944,588.176,2029,241.373,123,6.109,46,54.267,353,41.975,624,74.291,2515,299.195
Rhode Island,2011,684237,51,38.733,457,668.024,144,210.476,14,7.986,5,86.093,67,97.447,98,142.628,190,276.988
South Carolina,2011,3005444,154,35.926,1596,530.894,861,286.468,45,6.22,20,63.509,155,51.518,240,79.734,1019,338.998
South Dakota,2011,516437,40,43.136,314,607.92,130,252.386,4,6.622,3,50.978,22,42.843,36,70.588,162,312.912
Tennessee,2011,4150263,209,32.816,1699,409.303,1171,282.25,46,7.634,25,52.341,158,38.117,250,60.251,1398,336.828
Texas,2011,15484139,852,35.108,8040,519.248,3181,205.446,139,11.205,108,52.623,511,32.984,930,60.075,3826,247.106
Utah,2011,1563689,59,27.04,509,325.211,253,161.766,20,7.427,11,36.75,47,30.353,74,47.495,308,197.049
Vermont,2011,422511,22,41.699,257,608.946,89,211.231,6,10.055,3,94.341,39,93.389,60,143.19,113,267.32
Virginia,2011,5187508,260,30.946,3052,588.362,1018,196.293,50,6.352,33,63.886,178,34.406,336,64.813,1295,249.554
Washington,2011,4437371,296,40.988,2647,596.533,882,198.771,51,7.846,29,66.267,360,81.069,524,118.167,1065,239.975
West Virginia,2011,1253581,58,35.407,467,372.734,375,299.294,14,10.074,8,67.487,41,32.92,84,67.19,469,374.045
Wisconsin,2011,3706797,234,34.873,2418,652.279,799,215.416,36,6.471,22,51.987,172,46.534,258,69.47,1003,270.465
Wyoming,2011,364101,23,43.706,205,563.214,91,249.705,3,7.951,2,54.178,16,43.608,28,77.334,116,318.652
Alabama,2012,3094837,170,34.81,1435,463.78,840,271.374,32,4.637,18,47.793,105,34.086,213,68.966,1006,324.993
Alaska,2012,434523,29,26.819,253,582.109,100,229.147,5,6.545,3,60.099,46,106.027,75,172.408,133,306.958
Arizona,2012,4141839,272,34.657,2277,549.72,827,199.562,70,11.34,28,65.335,248,59.773,392,94.746,985,237.877
Arkansas,2012,1873816,91,27.498,805,429.584,525,280.243,21,5.45,12,58.017,79,42.338,128,68.228,649,346.278
California,2012,24005740,1559,30.527,12683,528.317,3861,160.83,361,7.861,164,60.075,1614,67.234,2421,100.833,4538,189.039
Colorado,2012,3332461,219,34.053,2183,655.201,695,208.697,66,8.844,24,79.202,338,101.28,499,149.797,913,274.089
Connecticut,2012,2375197,152,29.034,1555,654.582,422,177.806,35,6.035,18,73.655,156,65.497,231,97.237,513,216.125
Delaware,2012,599773,36,30.112,353,587.76,139,232.21,8,4.842,4,73.877,34,56.755,57,95.135,171,284.634
District of Columbia,2012,424447,48,25.481,284,668.362,98,230.896,13,3.289,2,90.718,39,91.442,69,161.82,116,272.761
Florida,2012,13133353,734,27.777,7211,549.081,2708,206.218,189,6.917,75,61.447,673,51.206,1063,80.964,3141,239.158
Georgia,2012,6155586,305,23.393,3135,509.231,1370,222.526,106,5.397,41,54.97,365,59.287,518,84.099,1695,275.291
Hawaii,2012,896059,60,35.164,477,532.305,152,169.615,11,6.588,5,65.953,62,69.064,93,103.517,177,197.791
Idaho,2012,983206,59,35.866,523,532.24,214,217.26,8,4.911,7,55.64,40,40.277,66,67.425,251,255.795
Illinois,2012,8256950,472,25.646,4915,595.224,1902,230.377,124,4.648,51,54.938,398,48.237,677,81.989,2176,263.505
Indiana,2012,4135390,252,34.717,2268,548.421,1085,262.486,42,5.712,26,52.653,177,42.82,300,72.626,1361,329.179
Iowa,2012,1968010,103,31.191,1204,611.803,451,228.972,20,5.878,12,50.792,81,41.184,133,67.802,529,269.018
Kansas,2012,1779494,114,32.785,1035,581.471,421,236.329,19,5.802,10,43.006,52,28.96,90,50.753,504,283.331
Kentucky,2012,2815636,144,30.835,1312,465.91,877,311.474,35,5.896,15,45.77,99,35.31,175,62.144,1009,358.468
Louisiana,2012,2870080,155,31.172,1485,517.474,753,262.234,46,5.987,17,50.283,96,33.328,219,76.333,927,323.128
Maine,2012,923093,50,32.386,532,576.761,215,233.243,10,5.762,5,62.973,73,79.523,121,131.15,247,267.524
Maryland,2012,3837914,224,27.678,2405,626.745,699,182.051,46,5.182,27,68.337,181,47.287,282,73.574,835,217.558
Massachusetts,2012,4420226,272,32.773,3066,693.528,804,181.97,79,7.42,27,65.645,313,70.714,487,110.193,998,225.705
Michigan,2012,6419614,396,30.725,3739,582.44,1670,260.18,57,3.45,48,69.843,490,76.361,755,117.574,1932,300.977
Minnesota,2012,3494114,204,31.388,2222,635.876,732,209.354,38,4.972,19,47.712,153,43.747,302,86.413,916,262.295
Mississippi,2012,1839846,96,27.905,816,443.289,590,320.565,24,5.133,11,44.575,60,32.562,102,55.168,700,380.651
Missouri,2012,3869695,227,35.464,2127,549.773,1117,288.732,33,4.219,26,62.27,189,48.83,307,79.257,1325,342.392
Montana,2012,663344,47,48.061,423,637.903,162,244.045,7,7.783,4,61.232,56,84.38,84,126.487,203,306.306
Nebraska,2012,1162770,79,38.713,707,608.083,260,223.846,11,5.244,8,55.352,43,36.798,75,64.577,303,260.168
Nevada,2012,1788826,129,31.144,1058,591.534,447,249.717,21,6.408,11,60.721,112,62.526,200,111.897,501,280.334
New Hampshire,2012,894572,55,46.174,623,696.263,173,193.871,12,8.204,6,78.344,62,69.851,95,105.879,222,247.821
New Jersey,2012,5868068,347,28.458,3520,599.817,990,168.643,76,6.505,36,54.411,214,36.403,400,68.113,1181,201.178
New Mexico,2012,1308966,87,39.155,709,542.014,296,226.331,23,9.548,10,80.141,95,72.261,153,117.154,354,270.752
New York,2012,12875810,754,32.268,7704,598.324,2577,200.161,212,6.087,74,58.223,798,61.955,1367,106.14,3092,240.117
North Carolina,2012,6254266,319,29.701,3245,518.807,1475,235.883,82,6.765,37,52.029,273,43.587,480,76.787,1719,274.879
North Dakota,2012,439830,30,45.672,272,617.892,109,247.863,5,6.469,2,39.464,14,32.568,27,60.627,130,296.145
Ohio,2012,7496795,426,29.761,4312,575.162,2054,274.017,100,4.722,48,58.139,434,57.913,729,97.238,2411,321.667
Oklahoma,2012,2381640,159,31.492,1210,507.893,729,306.257,21,4.339,14,48.571,96,40.263,163,68.466,864,362.664
Oregon,2012,2606713,165,33.587,1624,623.19,561,215.044,33,7.885,16,69.04,270,103.717,432,165.884,717,275
Pennsylvania,2012,8449649,462,33.907,5054,598.146,2024,239.553,122,4.467,48,57.396,366,43.371,640,75.729,2499,295.725
Rhode Island,2012,687705,50,31.902,430,624.819,140,203.005,12,5.445,5,81.679,77,111.836,106,154.116,185,268.699
South Carolina,2012,3047485,163,30.091,1591,522.201,811,266.198,42,4.918,21,66.522,147,48.134,245,80.442,944,309.914
South Dakota,2012,523437,36,36.067,320,610.704,138,263.858,5,5.007,3,41.988,19,36.713,36,69.711,162,309.468
Tennessee,2012,4187386,204,31.027,1697,405.158,1093,260.96,48,6.11,24,51.754,158,37.693,290,69.366,1344,320.966
Texas,2012,15777963,945,30.839,7912,501.435,3196,202.591,162,7.445,102,47.877,572,36.235,972,61.587,3854,244.275
Utah,2012,1593468,71,26.683,552,346.517,291,182.429,20,5.29,10,35.328,59,36.834,93,58.462,345,216.224
Vermont,2012,423650,23,43.923,261,616.831,87,204.732,6,8.245,3,81.191,38,88.818,60,142.682,110,258.623
Virginia,2012,5256298,337,32.205,3088,587.559,1209,229.955,67,4.994,30,56.825,236,44.867,460,87.593,1469,279.497
Washington,2012,4498893,310,34.691,2584,574.351,882,196.026,55,6.84,29,65.384,468,103.922,643,143.014,1081,240.176
West Virginia,2012,1253753,67,35.64,487,388.326,396,315.821,14,5.364,7,54.456,45,35.653,94,75.224,485,386.64
Wisconsin,2012,3732300,254,38.74,2461,659.356,840,225.096,44,4.854,25,61.649,165,44.241,284,76.175,1063,284.744
Wyoming,2012,369343,26,49.149,216,583.802,93,251.721,3,6.173,2,54.907,16,43.735,27,72.181,120,325.567
Alabama,2013,3116298,164,28.38,1488,477.377,839,269.293,31,4.213,17,44.59,126,40.28,221,71.006,1011,324.319
Alaska,2013,435577,27,21.159,257,590.511,95,218.761,5,5.099,3,69.865,45,104.227,73,167.019,129,295.898
Arizona,2013,4218271,304,33.703,2357,558.651,800,189.589,72,10.116,29,65.845,291,69.037,439,104.009,940,222.762
Arkansas,2013,1883371,89,26.311,836,444.04,570,302.537,14,4.105,12,57.799,97,51.487,162,86.24,703,373.089
California,2013,24421137,1460,27.535,13257,542.839,3696,151.351,382,8.933,165,61.609,1733,70.944,2664,109.081,4493,183.998
Colorado,2013,3398728,234,33.547,2251,662.429,655,192.704,67,8.88,28,91.278,423,124.476,571,168.038,856,251.896
Connecticut,2013,2382534,144,27.116,1541,646.806,391,163.958,39,6.14,19,70.991,151,63.385,234,98.268,490,205.616
Delaware,2013,610148,32,25.313,370,605.807,146,238.823,9,4.938,4,64.377,37,60.866,60,97.727,175,287.552
District of Columbia,2013,435643,40,25.131,309,708.7,100,228.994,14,3.927,2,91.113,44,101.379,77,176.858,119,273.214
Florida,2013,13387121,755,27.882,7592,567.141,2869,214.344,211,7.315,73,59.496,764,57.034,1128,84.233,3318,247.847
Georgia,2013,6240700,355,23.309,3295,528.01,1352,216.598,81,4.709,38,49.531,390,62.424,561,89.875,1647,263.904
Hawaii,2013,904925,57,24.875,472,521.956,154,169.672,11,4.903,5,65.123,60,66.779,92,101.293,185,204.771
Idaho,2013,999689,61,34.473,518,518.022,212,212.136,7,4.356,8,61.451,50,49.623,85,85.505,252,252.486
Illinois,2013,8297420,454,22.51,4988,601.159,1866,224.885,116,5.378,45,48.776,476,57.353,746,89.865,2136,257.403
Indiana,2013,4164196,250,30.367,2263,543.389,1059,254.198,35,4.584,26,55.258,224,53.848,369,88.538,1252,300.546
Iowa,2013,1979684,105,26.205,1178,595.168,454,229.452,18,4.953,11,42.376,67,34.038,124,62.507,542,273.813
Kansas,2013,1786820,122,28.744,1038,580.722,408,228.511,18,6.449,11,50.011,86,48.065,138,77.423,489,273.717
Kentucky,2013,2832115,138,24.231,1258,444.239,846,298.867,35,5.635,14,41.846,144,50.948,231,81.495,990,349.703
Louisiana,2013,2899670,166,26.182,1524,525.741,735,253.425,44,4.807,18,49.919,128,44.164,239,82.358,876,302.014
Maine,2013,928319,46,27.444,583,628.188,209,224.691,10,5.087,5,69.447,100,107.687,155,166.771,241,259.2
Maryland,2013,3882314,243,26.81,2427,625.113,724,186.505,42,4.003,25,65.736,241,62.006,372,95.836,853,219.726
Massachusetts,2013,4469726,255,30.192,2952,660.481,763,170.801,82,6.526,27,65.174,406,90.849,579,129.451,931,208.309
Michigan,2013,6446918,349,24.436,3763,583.725,1627,252.306,49,3.305,46,65.532,528,81.957,793,122.941,1881,291.752
Minnesota,2013,3529926,198,23.752,2245,635.989,737,208.653,33,4.621,18,46.758,188,53.239,315,89.326,937,265.397
Mississippi,2013,1849489,101,22.653,822,444.567,529,286.093,17,3.273,11,46.135,73,39.471,117,63.349,647,349.821
Missouri,2013,3894492,222,26.827,2108,541.287,1117,286.896,33,3.986,23,55.521,228,58.521,362,92.827,1311,336.708
Montana,2013,669411,45,34.965,418,625.107,146,218.666,6,4.888,3,52.378,57,84.862,77,115.058,191,284.801
Nebraska,2013,1171452,78,27.906,724,618.161,276,235.255,10,4.517,6,42.384,46,39.656,80,68.584,327,279.426
Nevada,2013,1826942,116,30.981,1079,590.467,439,240.24,24,6.864,11,61.45,112,61.266,182,99.801,502,274.91
New Hampshire,2013,900190,59,36.354,620,688.244,170,188.559,15,8.391,6,76.946,79,87.847,113,125.47,210,232.786
New Jersey,2013,5907201,357,32.783,3630,614.544,1073,181.562,60,4.713,35,54.847,280,47.389,485,82.164,1283,217.23
New Mexico,2013,1314755,84,26.393,686,521.82,289,219.808,22,8.385,9,69.41,106,80.595,168,127.834,346,263.051
New York,2013,12988411,795,27.422,7799,600.447,2642,203.409,250,7.108,72,56.629,870,67.018,1443,111.132,3118,240.036
North Carolina,2013,6339066,352,25.303,3179,501.484,1408,222.096,71,5.141,37,54.693,326,51.478,580,91.537,1653,260.805
North Dakota,2013,448656,30,35.376,277,616.711,109,242.323,4,4.665,2,42.422,18,39.482,29,65.526,130,290.325
Ohio,2013,7534236,460,27.407,4348,577.131,2041,270.885,83,4.47,41,51.011,395,52.402,635,84.331,2408,319.624
Oklahoma,2013,2404755,146,21.205,1250,519.629,686,285.387,16,3.735,16,53.723,111,46.093,181,75.42,835,347.121
Oregon,2013,2641759,167,33.572,1615,611.222,525,198.699,39,8.533,17,73.382,282,106.773,439,166.029,680,257.568
Pennsylvania,2013,8494600,499,26.593,5168,608.353,1923,226.375,103,4.842,45,53.194,454,53.446,704,82.85,2313,272.32
Rhode Island,2013,692945,46,28.612,425,612.822,141,202.929,10,5.685,4,60.241,69,99.232,100,143.958,166,239.785
South Carolina,2013,3096686,170,25.649,1572,507.746,770,248.602,29,3.829,20,61.668,151,48.804,265,85.663,914,295.288
South Dakota,2013,529318,36,30.058,314,592.965,123,231.852,4,3.861,3,42.196,17,33.043,33,61.674,149,281.859
Tennessee,2013,4226870,200,24.885,1916,453.389,978,231.354,35,4.17,20,43.526,170,40.115,322,76.213,1254,296.774
Texas,2013,16119667,981,28.214,8202,508.848,3383,209.843,159,5.831,103,47.859,679,42.115,1032,63.993,3931,243.855
Utah,2013,1623929,75,24.736,572,352.073,264,162.546,12,3.595,11,34.523,69,42.453,111,68.524,301,185.156
Vermont,2013,424696,26,36.453,273,643.459,88,207.535,6,7.838,2,72.004,44,104.153,66,155.699,106,249.656
Virginia,2013,5318077,331,27.734,2981,560.488,1240,233.075,71,5.125,27,48.924,272,51.189,523,98.343,1499,281.818
Washington,2013,4566571,273,29.198,2643,578.739,923,202.113,67,7.262,29,67.047,512,112.147,741,162.292,1113,243.666
West Virginia,2013,1252711,72,34.493,493,393.651,393,313.918,11,4.481,6,47.456,60,47.508,104,82.669,472,377.092
Wisconsin,2013,3753413,256,38.605,2530,674.105,849,226.301,56,7.527,24,60.611,171,45.454,309,82.247,1051,280.128
Wyoming,2013,371861,25,35.055,221,593.744,93,249.372,3,5.791,2,52.837,17,46.659,29,76.733,118,317.921
Alabama,2014,3138127,129,21.734,1470,468.289,781,248.888,31,4.102,16,43.638,121,38.612,214,68.116,979,312.065
Alaska,2014,438664,31,25.524,261,594.498,110,250.907,7,6.543,3,75.236,56,128.295,82,187.637,142,322.989
Arizona,2014,4307838,265,29.036,2390,554.693,866,201.008,72,8.493,29,60.925,294,68.149,430,99.715,995,230.886
Arkansas,2014,1895228,82,27.608,838,442.007,563,297.277,16,4.815,11,53.731,107,56.246,169,89.285,679,358.269
California,2014,24866806,1510,27.289,13820,555.763,3730,150.002,407,9.431,153,58.903,1964,78.961,3046,122.502,4526,182.006
Colorado,2014,3473655,248,32.014,2202,633.877,688,198.032,69,9.786,27,81.624,509,146.488,691,199.061,873,251.236
Connecticut,2014,2387658,153,27.417,1546,647.578,407,170.269,43,6.675,16,66.127,173,72.538,272,114.098,513,214.745
Delaware,2014,621612,32,24.25,356,572.91,143,229.538,11,5.59,3,52.925,37,60.147,57,91.742,166,267.631
District of Columbia,2014,444939,34,24.443,320,718.599,90,202.1,13,3.447,2,82.632,41,91.383,88,197.105,111,248.835
Florida,2014,13702886,767,26.868,8051,587.573,2707,197.547,199,6.475,69,55.685,823,60.076,1311,95.681,3206,233.955
Georgia,2014,6338910,319,21.835,3369,531.472,1363,214.963,95,5.136,39,51.748,381,60.049,625,98.671,1716,270.651
Hawaii,2014,916539,45,24.752,450,490.448,154,167.918,14,7.631,5,63.111,63,68.807,95,103.749,177,193.068
Idaho,2014,1017451,56,29.849,498,489.26,188,184.472,7,5.694,7,55.017,51,50.611,88,86.811,229,225.001
Illinois,2014,8326464,457,24.232,4884,586.601,1751,210.236,121,6.023,42,45.919,510,61.264,777,93.321,2034,244.282
Indiana,2014,4189743,218,26.476,2263,540.129,1121,267.486,36,5.117,27,59.716,280,66.723,436,104.044,1322,315.539
Iowa,2014,1990458,112,25.715,1189,597.286,434,217.931,13,4.72,11,43.103,66,33.021,114,57.302,543,273.023
Kansas,2014,1795749,95,25.063,1021,568.77,355,197.476,15,6.119,12,50.098,105,58.489,167,92.722,451,251.411
Kentucky,2014,2847963,150,23.601,1293,453.896,851,298.889,34,5.622,15,46.209,158,55.411,274,96.244,1015,356.562
Louisiana,2014,2928109,188,24.332,1569,535.71,813,277.791,46,4.41,16,44.601,138,47.08,249,85.047,949,324.139
Maine,2014,932783,44,25.229,601,643.87,195,209.514,12,6.546,6,74.493,110,118.448,158,169.095,226,241.81
Maryland,2014,3923318,247,25.581,2474,630.706,775,197.601,50,4.597,22,61.218,284,72.389,447,114.055,950,242.121
Massachusetts,2014,4519295,274,29.849,2752,608.854,741,164.041,81,7.06,27,68.2,416,92.07,648,143.291,921,203.84
Michigan,2014,6479469,325,26.3,3756,579.609,1508,232.735,61,4.437,40,57.885,528,81.415,783,120.813,1798,277.427
Minnesota,2014,3562031,203,22.03,2288,642.262,716,200.915,39,5.675,18,43.883,209,58.807,327,91.685,921,258.576
Mississippi,2014,1859652,90,21.704,785,422.215,500,268.825,17,3.566,11,44.066,71,38.126,115,61.947,624,335.574
Missouri,2014,3918803,217,22.843,2127,542.651,999,254.947,39,4.884,23,56.199,246,62.782,407,103.923,1220,311.356
Montana,2014,676207,42,26.006,423,626.241,133,196.132,7,6.226,4,61.936,64,94.053,84,124.908,183,271.357
Nebraska,2014,1179809,74,23.255,739,626.79,272,230.442,12,5.561,6,35.086,53,45.256,86,72.765,330,279.699
Nevada,2014,1872598,108,30.158,1065,568.478,417,222.872,21,7.157,12,62.76,120,64.278,191,101.882,480,256.535
New Hampshire,2014,905672,60,26.819,618,682.687,177,194.945,19,8.257,5,68.231,87,96.547,123,135.746,221,244.178
New Jersey,2014,5945550,306,32.424,3605,606.341,1012,170.221,84,6.035,32,49.856,311,52.285,515,86.6,1249,210.029
New Mexico,2014,1322519,85,25.933,665,502.515,274,206.805,18,8.197,9,67.111,113,85.479,157,118.682,324,244.64
New York,2014,13092078,779,25.103,7594,580.051,2653,202.646,274,7.31,69,54.306,987,75.425,1530,116.849,3142,240.011
North Carolina,2014,6428523,306,20.77,3134,487.479,1404,218.471,90,5.329,38,53.514,354,55.115,554,86.127,1701,264.565
North Dakota,2014,457339,28,29.569,281,615.086,111,241.709,3,5.628,2,49.115,18,39.329,27,58.98,137,299.801
