State,Year,Population.26+,Totals.Alcohol.Use Disorder Past Year.26+,Rates.Alcohol.Use Disorder Past Year.12-17,Totals.Alcohol.Use Past Month.26+,Rates.Alcohol.Use Past Month.26+,Totals.Tobacco.Cigarette Past Month.26+,Rates.Tobacco.Cigarette Past Month.26+,Totals.Illicit Drugs.Cocaine Used Past Year.26+,Rates.Illicit Drugs.Cocaine Used Past Year.12-17,Totals.Marijuana.New Users.12-17,Rates.Marijuana.New Users.12-17,Totals.Marijuana.Used Past Month.26+,Rates.Marijuana.Used Past Month.26+,Totals.Marijuana.Used Past Year.26+,Rates.Marijuana.Used Past Year.26+,Totals.Tobacco.Use Past Month.26+,Rates.Tobacco.Use Past Month.26+
Iowa,2004,1883725,117,74.78,1060,562.753,458,243.358,23,17.037,11,48.695,50,26.39,93,49.328,560,297.108
Kansas,2004,1673455,113,76.12,898,536.751,446,266.555,30,16.512,12,57.027,57,33.846,110,65.913,539,322.289
Kentucky,2004,2645240,149,60.96,1155,436.563,816,308.502,47,16.298,17,59.068,118,44.524,184,69.633,1005,379.762
Louisiana,2004,2712415,180,50.925,1318,486.077,767,282.803,43,11.935,19,52.294,99,36.523,161,59.252,895,329.901
Maine,2004,884793,53,67.226,473,535.076,220,249.143,14,18.945,6,74.833,50,56.045,72,81.546,263,297.2
Maryland,2004,3512136,202,50.499,1991,566.88,773,219.992,65,12.091,26,61.242,120,34.192,231,65.879,914,260.268
Massachusetts,2004,4186567,269,53.238,2625,627.074,917,218.925,81,19.059,26,63.198,190,45.276,332,79.325,1106,264.09
Michigan,2004,6354775,399,55.67,3645,573.559,1742,274.047,107,15.461,49,62.168,287,45.143,511,80.416,2052,322.954
Minnesota,2004,3220581,230,61.026,2093,649.88,731,227.114,46,17.543,23,60.53,163,50.562,261,80.936,896,278.085
Mississippi,2004,1747645,97,44.827,679,388.664,464,265.477,28,13.421,11,47.433,58,32.954,95,54.407,566,324.087
Missouri,2004,3636194,256,70.381,1807,497.062,1058,291.068,56,17.015,25,59.048,131,35.952,257,70.685,1290,354.702
Montana,2004,599979,43,90.116,357,594.358,156,260.557,8,16.474,5,76.86,34,56.534,54,89.425,201,334.907
Nebraska,2004,1077324,75,74.737,621,576.103,249,230.979,14,16.237,7,49.989,32,30.151,64,59.646,296,274.478
Nevada,2004,1493077,102,62.274,761,509.487,399,267.471,18,16.092,11,63.256,65,43.769,106,70.998,465,311.196
New Hampshire,2004,849273,50,60.425,531,625.445,185,217.826,11,18.494,6,59.008,42,49.026,73,85.406,226,266.194
New Jersey,2004,5605723,297,56.837,3255,580.608,1191,212.499,82,16.351,35,52.565,186,33.165,339,60.513,1383,246.719
New Mexico,2004,1167618,81,66.533,595,509.422,261,223.289,17,21.447,10,78.306,49,41.586,80,68.893,309,264.892
New York,2004,12371557,671,53.77,7037,568.822,2946,238.09,223,15.406,79,57.342,601,48.544,1022,82.578,3342,270.107
North Carolina,2004,5379787,316,52.926,2447,454.892,1387,257.788,82,13.053,33,53.132,204,37.955,357,66.451,1719,319.501
North Dakota,2004,398634,28,82.281,244,611.49,97,242.563,4,16.961,3,53.455,13,32.115,20,49.425,122,306.628
Ohio,2004,7263612,410,54.052,3885,534.861,2006,276.168,108,12.325,49,56.716,296,40.702,483,66.46,2391,329.131
Oklahoma,2004,2171414,131,62.46,938,431.921,606,279.262,26,16.702,15,57.587,71,32.913,118,54.492,709,326.37
Oregon,2004,2331124,144,63.066,1404,602.206,564,242.107,32,16.562,18,74.217,142,61.115,219,93.934,659,282.582
Pennsylvania,2004,8059411,478,56.476,4477,555.515,2095,259.891,139,15.182,55,61.002,326,40.446,586,72.674,2509,311.264
Rhode Island,2004,691117,45,58.854,437,632.546,164,237.5,14,18.496,5,76.276,38,55.065,63,91.024,192,277.199
South Carolina,2004,2642693,190,46.099,1196,452.429,756,286.224,46,16.216,19,60.715,99,37.36,168,63.592,867,328.251
South Dakota,2004,472172,33,81.467,295,624.518,115,243.283,5,16.232,4,58.986,14,30.561,24,51.718,144,304.797
Tennessee,2004,3799709,210,48.131,1587,417.646,1112,292.662,63,15.138,25,60.162,164,43.099,274,72.213,1349,354.959
Texas,2004,13267576,851,52.479,6864,517.347,3333,251.215,206,24.081,88,49.183,381,28.75,700,52.771,3992,300.891
Utah,2004,1304188,75,52.263,415,318.218,242,185.479,22,18.802,10,42.905,42,32.414,67,51.31,273,209.27
Vermont,2004,411991,27,64.29,257,622.632,96,233.502,7,20.145,3,73.243,24,58.381,40,95.99,115,278.244
Virginia,2004,4680347,276,50.115,2531,540.749,1114,237.983,83,13.947,29,50.9,152,32.462,260,55.621,1329,283.989
Washington,2004,3955836,268,57.419,2403,607.444,926,234.092,56,15.67,25,53.018,202,51.166,314,79.429,1057,267.181
West Virginia,2004,1215454,64,64.939,429,353.272,386,317.92,21,21.568,6,54.913,47,38.781,73,59.798,498,409.574
Wisconsin,2004,3502106,277,80.494,2420,691.066,910,259.859,52,19.085,27,67.99,135,38.456,238,67.956,1083,309.31
Wyoming,2004,321211,24,80.965,176,548.405,78,242.987,4,18.018,3,69.326,12,36.485,22,67.515,100,310.362
Alabama,2005,2899055,160,49.386,1274,439.526,803,276.982,48,14.212,17,48.558,94,32.476,152,52.344,983,339.205
Alaska,2005,382565,24,59.613,221,578.911,90,235.005,7,17.14,3,58.982,27,70.095,40,104.967,111,291.206
Arizona,2005,3704157,256,56.86,2156,582.075,863,232.866,69,21.541,27,65.501,123,33.3,206,55.599,1026,277.115
Arkansas,2005,1755313,112,65.796,774,441.027,505,287.808,25,16.494,12,63.36,69,39.432,119,67.566,629,358.166
California,2005,22046720,1539,55.341,11972,543.031,4341,196.887,328,16.548,155,54.006,1054,47.801,1736,78.748,4944,224.262
Colorado,2005,2938592,216,68.639,1828,621.987,606,206.175,57,19.414,22,69.351,160,54.475,247,83.887,730,248.419
Connecticut,2005,2272942,152,60.452,1467,645.445,452,198.696,43,19.706,17,68.15,116,50.964,211,92.66,541,237.958
Delaware,2005,541851,29,49.046,293,540.402,130,240.777,9,14.745,4,62.834,20,36.99,36,66.993,151,279.34
District of Columbia,2005,369695,32,35.282,231,626.065,94,253.948,19,6.09,2,61.151,24,64.096,41,110.363,106,286.784
Florida,2005,11819668,756,51.716,6727,569.127,2801,236.984,234,16.935,71,57.347,437,36.97,743,62.823,3324,281.261
Georgia,2005,5604242,322,44.968,2675,477.255,1298,231.678,90,14.431,34,46.204,234,41.792,367,65.559,1663,296.738
Hawaii,2005,806534,48,46.963,397,492.715,154,191.16,11,14.105,4,58.992,31,38.415,56,69.99,174,215.681
Idaho,2005,869082,56,71.718,435,500.358,197,227.195,9,16.78,6,50.23,30,35.053,48,55.019,235,270.576
Illinois,2005,7966227,479,56.168,4403,552.734,2017,253.231,137,15.65,53,55.03,271,34.019,471,59.073,2362,296.557
Indiana,2005,3913195,233,50.42,2032,519.266,1091,278.9,56,15.679,28,56.371,141,35.959,229,58.484,1300,332.198
Iowa,2005,1887732,128,80.012,1040,551.174,453,239.95,19,18.385,12,52.683,55,28.969,94,49.902,570,301.937
Kansas,2005,1685072,111,72.943,933,553.812,435,258.336,38,17.241,11,51.83,67,39.833,120,71.048,542,321.788
Kentucky,2005,2675718,133,57.922,1167,436.252,804,300.485,38,16.079,16,53.86,88,32.758,153,57.075,1012,378.294
Louisiana,2005,2663520,165,43.452,1378,517.197,724,271.978,43,11.488,19,54.551,99,37.226,170,63.703,898,337.145
Maine,2005,891125,53,59.719,510,572.618,231,259.594,12,17.327,6,75.514,55,61.564,80,89.554,267,299.347
Maryland,2005,3545971,198,50.319,2015,568.285,764,215.375,56,13.762,23,53.635,115,32.514,202,57.055,897,252.953
Massachusetts,2005,4187314,276,54.994,2545,607.831,948,226.345,108,17.444,27,63.343,220,52.591,356,85.125,1142,272.846
Michigan,2005,6379828,423,52.68,3806,596.636,1748,273.988,94,15.084,46,58.249,286,44.78,516,80.847,2058,322.647
Minnesota,2005,3249410,241,66.352,2130,655.4,746,229.502,49,18.426,22,57.106,172,53.038,252,77.668,919,282.799
Mississippi,2005,1758458,94,44.346,674,383.249,487,276.993,27,11.772,11,46.098,62,35.348,99,56.049,597,339.262
Missouri,2005,3671275,246,64.16,1901,517.673,1079,293.803,53,16.904,22,50.339,135,36.854,255,69.475,1300,354.124
Montana,2005,605606,49,106.066,356,588.482,160,264.648,10,16.674,4,63.931,42,69.89,59,97.742,200,329.83
Nebraska,2005,1083695,81,70.857,606,558.761,268,247.489,16,15.845,7,45.978,36,33.056,65,59.718,319,294.751
Nevada,2005,1551580,108,63.645,861,554.939,421,271.203,21,19.195,11,62.83,80,51.306,117,75.329,486,313.343
New Hampshire,2005,860562,53,63.811,556,646.228,184,214.278,12,18.771,6,57.72,42,49.345,69,80.323,221,257.009
New Jersey,2005,5639515,289,53.627,3385,600.204,1126,199.596,86,16.336,38,57.193,195,34.579,352,62.417,1393,246.94
New Mexico,2005,1183171,79,64.16,566,478.725,272,229.647,17,18.988,9,72.705,46,39.085,75,63.061,322,272.075
