41,27,4,60.99,59.783,1.067,51,144,162,69.495,176.135,29.026,97,236,290,132.427,289.583,51.743
11,6,1,87.619,73.159,1.223,21,46,66,119.052,211.02,57.905,35,73,96,198.83,335.15,83.86
86,77,9,62.796,76.523,1.218,133,439,613,84.62,214.597,49.672,235,678,970,149.474,330.986,78.614
39,28,4,64.133,61.962,1.315,52,136,198,73.91,153.329,37.514,102,227,321,145.424,255.32,60.847
3,3,0,67.481,81.808,1.235,4,12,14,74.929,147.169,34.547,8,24,21,161.132,289.34,53.55
53,45,6,62.47,74.386,1.408,81,208,289,82.12,166.232,39.946,141,348,468,143.339,278.144,64.721
15,13,2,59.07,62.401,1.335,23,65,72,77.585,157.034,33.586,48,107,126,161.445,258.602,58.793
17,11,2,69.537,64.371,1.657,29,83,128,97.435,210.715,55.796,54,134,205,181.875,341.65,89.382
57,48,6,63.284,75.216,1.268,80,233,310,77.523,177.426,38.676,149,405,539,143.938,307.61,67.116
5,4,1,73.838,84.438,1.566,10,32,41,109.65,254.231,59.219,16,52,66,186.754,410.511,95.516
20,18,2,62.303,81.715,1.274,24,72,101,67.279,155.301,38.782,50,118,172,139.056,257.092,66.456
4,4,0,72.401,78.177,1.284,5,12,14,69.036,129.31,29.924,11,23,26,156.272,250.226,55.244
23,18,3,53.597,51.811,1.434,29,82,134,61.429,128.083,35.764,61,139,211,127.694,217.695,56.239
102,75,11,57.748,50.731,1.263,122,325,379,59.671,126.078,29.156,272,559,664,133.265,216.891,51.079
9,10,1,41.57,42.279,1.859,11,34,32,47.351,96.118,25.912,24,67,56,104.829,187.778,44.467
4,3,0,88.156,104.655,1.546,6,19,23,111.069,263.493,57.314,11,31,38,197.971,433.338,93.67
29,29,3,53.038,84.983,1.275,42,122,159,67.629,161.315,34.386,79,231,275,128.089,305.355,59.572
29,21,3,64.707,68.182,1.442,42,117,165,79.838,172.785,42.504,83,200,310,157.269,295.408,79.679
8,6,1,70.166,69.092,1.328,11,31,45,77.668,156.707,37.354,21,56,71,152.304,288.65,58.501
28,23,3,69.829,79.069,1.363,40,101,123,83.605,158.904,35.524,82,185,226,170.832,292.587,65.389
3,2,0,69.667,76.053,1.553,3,10,11,68.655,163.696,34.978,6,18,21,144.724,288.659,65.505
17,14,3,51.428,51.097,1.531,26,71,87,67.209,139.538,30.454,48,124,156,126.519,245.615,54.321
4,2,0,71.5,71.247,2.517,7,16,30,97.076,213.588,79.92,11,26,46,166.355,347.443,122.536
28,17,4,68.894,55.449,1.926,42,85,124,82.033,131.478,35.071,82,152,232,160.111,235.479,65.256
