5,29,63,10.346,48.269,17.675
7,47,64,13.374,63.518,15.177
10,68,101,11.347,62.458,15.768
7,37,57,15.626,63.755,17.255
2,10,18,6.572,31.554,10.087
6,37,54,13.27,59.644,14.362
1,8,9,12.863,77.159,14.578
2,10,10,12.084,45.601,9.084
5,17,31,21.226,69.532,19.044
2,10,13,14.783,72.242,15.149
9,44,72,11.887,50.874,12.687
3,14,15,16.52,63.931,12.691
20,143,261,12.508,64.631,20.877
8,57,128,10.589,61.232,22.094
1,4,3,10.729,42.105,8.632
12,71,97,12.27,58.588,13.191
4,19,22,13.858,47.686,9.704
5,34,63,16.106,88.134,25.414
14,81,134,13.856,61.341,16.462
1,13,23,16.264,100.485,33.242
4,26,54,10.513,57.395,19.306
1,4,4,10.751,45.602,7.518
6,42,76,11.553,67.902,18.985
35,138,210,16.396,51.066,14.76
3,20,15,13.56,52.184,10.198
1,7,8,13.129,105.06,19.696
8,49,79,13.133,59.545,16.11
8,46,71,15.208,67.938,16.99
2,14,23,13.429,78.709,18.743
7,46,84,15.769,75.441,23.203
1,4,3,14.123,62.04,10.269
3,17,33,7.569,34.392,11.111
1,6,10,14.459,73.797,23.906
7,47,68,13.783,69.123,16.814
2,10,21,8.895,35.18,11.631
44,241,352,13.912,55.71,15.601
5,47,81,13.726,89.401,25.627
4,23,34,12.584,62.514,14.879
1,6,11,9.11,64.001,18.703
0,4,14,4.336,51.417,37.588
14,85,179,10.519,47.033,14.56
7,40,71,8.095,39.303,11.985
1,6,12,12.456,43.937,14.002
2,7,7,12.449,45.157,7.502
11,68,124,9.862,46.43,15.337
6,34,47,10.912,49.72,11.764
3,12,13,11.132,36.44,6.648
3,16,16,11.13,49.723,9.368
3,19,26,10.244,43.73,9.317
3,25,56,8.429,47.748,20.759
1,10,15,11.332,76.657,16.867
4,25,45,8.702,40.274,12.373
6,54,75,11.764,71.615,17.636
9,62,95,10.532,57.399,14.91
5,29,43,11.208,51.352,12.728
2,10,20,6.28,31.461,11.365
5,36,58,10.014,57.447,15.227
1,8,10,11.676,76.043,15.806
2,10,12,11.031,46.078,10.598
3,17,30,15.019,67.209,17.941
1,12,17,12.311,89.66,19.788
7,43,75,10.376,49.317,13.265
2,15,18,12.966,65.519,14.741
17,165,254,10.861,73.087,20.194
7,46,105,9.289,49.036,17.909
1,3,3,10.491,37.83,6.77
10,55,77,10.244,45.12,10.468
3,19,22,11.389,47.03,9.697
4,31,49,12.327,80.442,19.538
11,79,149,10.849,58.599,18.202
1,12,22,12.796,93.927,31.691
3,23,75,8.335,49.714,26.208
1,4,4,9.518,39.079,7.092
5,27,50,9.327,43.119,12.291
25,139,203,11.597,50.885,13.97
3,16,12,11.627,41.42,7.997
1,7,9,12.247,101.738,20.471
6,41,64,10.241,49.454,12.969
6,43,65,12.003,62.419,15.149
1,14,24,10.502,76.547,19.267
5,45,77,11.895,72.731,21.33
0,3,3,11.269,52.456,8.297
3,13,24,6.722,26.142,8.094
1,5,8,8.82,59.048,18.125
6,39,59,11.118,56.194,14.435
2,9,16,8.511,28.362,8.957
40,244,352,12.775,56.414,15.478
4,46,75,11.5,84.428,23.605
3,19,28,10.376,51.272,12.062
1,5,8,8.683,48.838,14.067
0,4,12,3.803,42.613,31.289
12,93,182,8.769,50.496,14.722
6,36,69,6.837,34.194,11.478
1,6,10,8.722,43.569,12.192
1,6,6,10.319,35.455,6.299
9,65,109,8.586,44.785,13.426
5,24,33,8.991,33.65,8.183
3,11,12,11.157,30.25,6.477
2,15,19,10.7,45.572,10.847
4,17,25,10.498,37.064,8.904
3,19,38,7.203,36.833,13.893
1,9,13,10.515,69.353,13.923
4,26,54,8.03,42.755,14.829
5,62,99,9.906,81.198,22.811
7,50,81,8.635,45.406,12.691
4,21,30,9.056,36.548,8.782
2,11,25,6.103,34.022,14.286
4,29,50,9.207,45.796,13.011
1,6,8,10.31,57.553,12.542
1,8,11,10.159,38.891,9.587
2,17,33,10.551,65.878,19.348
1,12,18,10.756,86.348,19.835
6,52,102,9.274,59.868,17.884
2,15,22,12.926,67.454,17.711
15,144,211,9.658,64.245,16.693
6,43,90,8.334,43.686,15.129
0,2,2,9.972,26.897,5.76
9,50,83,9.554,41.173,11.143
3,17,21,10.462,40.179,9.207
4,25,34,12.38,62.508,13.396
8,70,128,8.81,51.684,15.521
1,10,15,10.689,74.112,22.585
2,20,57,6.775,41.352,19.469
1,3,4,8.771,32.714,7.792
4,19,40,9.075,29.87,9.809
24,132,191,11.281,47.032,12.967
3,13,13,10.79,34.27,8.318
1,7,9,12.201,99.587,20.63
5,43,70,8.49,49.853,14.151
5,45,67,10.548,63.06,15.423
1,11,17,9.465,58.616,13.557
4,38,53,10.045,59.298,14.532
